"識別ID","回答日時","セグメント","タグ","オフィスで勤務していたときの標準的な生産性を「5」とすると、テレワーク時の生産性は何点ですか？ 0点～10点でお答えください。","NPS要因 - wifiなど業務遂行に十分な通信環境がある","NPS要因 - 机、椅子など、仕事がしやすい環境が自宅にある","NPS要因 - パソコン、プリンターなど業務に必要な機器が揃っている","NPS要因 - ウェブ会議やチャットツールなど業務に必要なツール・ソフトが揃っている","NPS要因 - 上司とのコミュニケーションは円滑に実施できている","NPS要因 - 同僚とのコミュニケーションは円滑に実施できている","NPS要因 - 顧客や社外関係者とのコミュニケーションは円滑に実施できている","NPS要因 - 業務量は適切である","NPS要因 - 適切な業務指示を受けている","NPS要因 - 自分の業務に対するフィードバック・評価をしっかり得られている","NPS要因 - 自身の業務はテレワークに対応しており、在宅でも遂行できている","NPS要因 - 会社は、自分の健康や安全に十分配慮している","NPS要因 - 会社は、自分の家族環境にも十分配慮している","NPS要因 - 情報セキュリティ対策を十分に行っている","NPS要因 - テレワークの環境整備など、施策実行が迅速だった","NPS要因 - 会社の業績は安定している","NPS要因 - 給与が安定して支払われている","NPS要因 -  プライベートと業務の切り替え、メリハリが上手く実施できている","平均すると、1週間で何日程度テレワークを実施していますか？","テレワークはどの程度前から実施していますか？最も近いものを選択してください。","あなたの性別を選択してください。","あなたの年代を選択してください。","あなたの勤続年数を選択してください。","あなたの役職を選択してください。","あなたの雇用形態を選択してください。","あなたの入社形態を選択してください。","あなたの所属部門に最も近いものを選択してください。","あなたは、現在の職場で働くことをを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください。","IPアドレス","UserAgent"
"","2020/07/01 15:25:31","セグメントなし","","2","当てはまる","あまり当てはまらない","やや当てはまる","あまり当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","当てはまらない","週3日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","企画部門","4","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/30 17:20:06","セグメントなし","","5;良い面・・・集中して業務を行う事ができる
悪い面・・・打合せ発生時、時間を要する傾向に有り","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","当てはまらない","やや当てはまる","あまり当てはまらない","週1日に満たない","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","その他","正社員","新卒","その他部門","2","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/30 00:00:36","セグメントなし","","2;自宅に通信環境がなく、早々に速度制限がかかってからは、画像をやり取りするなどのメールにとにかく時間がかかり、困った。プリンターなどもなく、印刷して確認しないといけないものができなくて困った。ZOOMもうまくつながらず、電話や個人のLINEトークを使用するなどがあった","当てはまらない","当てはまらない","当てはまらない","やや当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","どちらでもない","当てはまる","やや当てはまる","当てはまらない","やや当てはまる","どちらでもない","当てはまる","やや当てはまる","どちらでもない","当てはまる","あまり当てはまらない","週1日程度","3ヶ月程度前","女性","40～49歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","中途","企画部門","5;合う人合わない人がいるとおもうので、強くもすすめないが、絶対にすすめない理由もない。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/29 20:38:38","セグメントなし","","7","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","あまり当てはまらない","週3日程度","2～3週間程度前","男性","20～29歳","半年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","7;成長はできるが、その分残業などが多いため","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/29 16:55:11","セグメントなし","","7;電話取次や来客対応が不要になったため（＋４点）
家庭のネットワーク回線速度がオフィスに比べると遅いため（－２点）
合計して＋２点にしました。","あまり当てはまらない","あまり当てはまらない","当てはまらない","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","当てはまる","週2日程度","3ヶ月程度前","女性","30～39歳","半年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","総務部門","7","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
"","2020/06/29 15:47:26","セグメントなし","","8","当てはまる","当てはまる","どちらでもない","当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまらない","あまり当てはまらない","どちらでもない","当てはまる","当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","当てはまらない","週5日以上","2ヶ月程度前","男性","50～59歳","20年以上～","プレイヤー（内勤系職種）","正社員","中途","その他部門","5","116.91.141.68","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
"","2020/06/29 13:25:44","セグメントなし","","7","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","当てはまらない","やや当てはまる","あまり当てはまらない","週4日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","6","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/29 13:08:52","セグメントなし","","6","どちらでもない","当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","週3日程度","1ヶ月程度前","男性","20～29歳","半年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","6","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/29 13:00:23","セグメントなし","","7;週1日だったので作業時間を分けて集中出来た。","当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまらない","当てはまらない","当てはまる","あまり当てはまらない","当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまらない","あまり当てはまらない","当てはまらない","週1日程度","2ヶ月程度前","男性","30～39歳","1年以上～3年未満","部長（複数の課のマネジメント）","正社員","中途","マーケティング部門（広報も含む）","5;事業構造と市場推移を俯瞰すると安定を求める人には勧められない。
改善しなきゃ死ぬと言う危機感を優秀な上が持ってコトに当たっているので、色々チャレンジして成長したい人には勧めたい。","126.182.96.78","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1"
"","2020/06/29 11:33:52","セグメントなし","","5;話しかけられないので、作業が止まらず進みますが、逆に確認したいことがすぐに確認できないので、変わらないかと思います。
","当てはまる","あまり当てはまらない","当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまらない","どちらでもない","あまり当てはまらない","週1日に満たない","2ヶ月程度前","男性","50～59歳","10年以上～20年未満","課長（複数のチームのマネジメント）","正社員","中途","システム部門","5;SNSが普及している中で、写真（プリント）が
生き延びていくのか不安なため。","126.247.116.201","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/80.0.3987.95 Mobile/15E148 Safari/604.1"
